taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__GCA_016777365.1	prev_10	pearson	M2	-0.23552534	0.43706775	-2.492643	-0.21641162	0.0	2	0.397277295589447	4.253140850820092	0.4449397369160525	3.203925	5.01406	36102.92572463765	2	0.7144851312032352	glacial_like
S__GCA_016838795.1	prev_10	pearson	M1	-0.6316104	-1.0896969	4.388129	1.2620494	0.0	2	0.397277295589447	4.137752057057697	0.42312469501021355	3.120315	5.01406	1493206.1478511707	4	0.6445494337975336	glacial_like
S__GCA_016838825.1	prev_10	pearson	M2	-0.5520282	-0.02391392	0.057620384	0.14966822	0.0	2	0.397277295589447	4.132893094368095	0.4216444090204096	3.120315	5.01406	1112364.3397714603	4	0.6415142626637319	glacial_like
S__GCA_016838845.1	prev_10	pearson	M1	-0.35507104	-0.6477634	1.377593	3.4636974	0.0	2	0.397277295589447	4.134595449810692	0.42185730435472263	3.120315	5.01406	6323713.382107019	4	0.6427574602517018	glacial_like
S__GCA_017368835.1	prev_10	pearson	M1	-0.562344	-0.48903787	1.7050112	1.53974	0.0	2	0.397277295589447	4.14597963819589	0.42787603827617426	3.120315	5.01406	113601.28910256403	3	0.6482911378573141	glacial_like
S__GCA_017854145.1	prev_10	pearson	M2	-0.23175085	0.83703387	-3.4759998	0.2868837	0.0	2	0.397277295589447	4.153524224683545	0.4264223432890566	3.120315	5.01406	286265.2448913044	4	0.655027794337103	glacial_like
S__GCA_018673385.1	prev_10	pearson	M2	-0.48317635	0.43187046	-2.3187966	-1.1145481	0.0	2	0.397277295589447	4.170420163170272	0.4290414166235786	3.203925	5.01406	45220.01666666671	2	0.6663958917898084	glacial_like
S__GCA_902512375.1	prev_10	pearson	M2	-0.41845992	0.06298387	-1.0475035	0.41304094	0.0	2	0.397277295589447	4.167725532958515	0.43007669235150736	3.120315	5.01406	105375.92536510588	4	0.6637657058481897	glacial_like
S__GCA_902514095.1	prev_10	pearson	M1	-0.7726488	-0.58651876	3.3567178	-0.91466314	0.0	2	0.397277295589447	4.164602315173966	0.42866936711568315	3.120315	5.01406	49858.398648272065	3	0.6622153342488021	glacial_like
S__GCA_905181585.1	prev_10	pearson	M2	-0.01738991	0.3992225	-3.645951	0.39632252	0.0	2	0.397277295589447	4.2036471494742	0.438407856770916	3.120315	5.01406	73461.2368478261	3	0.6851060354916936	glacial_like
