from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__3300027771_26	S__GCA_905182775.1	5	0.511405008581252	0.511405008581252	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300025071_000006	S__GCA_905182775.1	5	0.550486760363266	0.550486760363266	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_003526595.1	S__GCA_012964335.1	5	0.120816069138663	0.120816069138663	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182795.1	S__IMGVR_UViG_3300027833_000016	5	0.356250594738008	0.356250594738008	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905612275.1	S__TARA_SOC_28_MAG_00016	5	0.10198418842994	0.10198418842994	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905618915.1	S__TARA_SOC_28_MAG_00016	5	0.143696349839455	0.143696349839455	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_013215285.1	S__TARA_ARC_108_MAG_00099	5	0.141538570310039	0.141538570310039	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182795.1	S__TARA_ARC_108_MAG_00099	5	0.402343996315673	0.402343996315673	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_012964335.1	S__TARA_ARC_108_MAG_00099	5	0.770417779928566	0.770417779928566	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024058_22	S__GCA_905612365.1	5	0.0726649195325302	0.0726649195325302	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300047157_000078	S__GCA_905612365.1	5	0.140184037917916	0.140184037917916	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300035195_000275	S__GCA_905612305.1	5	0.124308311310032	0.124308311310032	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027827_16	S__GCA_905612305.1	5	0.250739269962431	0.250739269962431	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_003672175.1	S__GCA_905612305.1	5	0.282974713025133	0.282974713025133	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_013215285.1	S__GCA_905612305.1	5	0.137783244511206	0.137783244511206	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_SOC_28_MAG_00016	S__GCA_905612305.1	5	0.486832571908938	0.486832571908938	mi_aracne	mi_aracne	spearman	0	ST13
S__3300006311_3	S__3300024516_18	5	0.0846770666271245	0.0846770666271245	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_108_MAG_00099	S__GCA_902512375.1	5	0.584701824840847	0.584701824840847	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905478615.1	S__GCA_012964845.1	5	0.112928590439054	0.112928590439054	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300025869_000017	S__GCA_012964845.1	5	0.183436743282133	0.183436743282133	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_GVMAG-S-1102114-126_000001	S__GCA_012964845.1	5	0.112989778932371	0.112989778932371	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300025653_000044	S__GCA_012964845.1	5	0.215105810678563	0.215105810678563	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_015659035.1	S__GCA_004356455.1	5	0.381836410414747	0.381836410414747	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300025653_000044	S__GCA_000402075.1	5	0.147492445254582	0.147492445254582	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016276965.1	S__GCA_013911135.1	5	0.156146040774099	0.156146040774099	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027687_20	S__GCA_013911135.1	5	0.110258227320431	0.110258227320431	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024431_33	S__TARA_ARC_NCLDV_00033	5	0.124766029418334	0.124766029418334	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024516_13	S__TARA_ARC_NCLDV_00033	5	0.123266443701209	0.123266443701209	mi_aracne	mi_aracne	spearman	0	ST13
S__GCF_013407165.1	S__TARA_ARC_NCLDV_00033	5	0.121908120913953	0.121908120913953	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_SOC_28_MAG_00016	S__3300025276_12	5	0.351076159142626	0.351076159142626	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_108_MAG_00099	S__3300025276_12	5	0.370777980239371	0.370777980239371	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024516_18	S__3300025276_12	5	0.233498319920652	0.233498319920652	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300009443_000008	S__GCA_013203245.1	5	0.265997182099855	0.265997182099855	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_012974425.1	S__GCA_013203245.1	5	0.34613364030913	0.34613364030913	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_108_MAG_00021	S__3300027791_27	5	0.244505430332033	0.244505430332033	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300025869_000017	S__3300027791_27	5	0.228053190760338	0.228053190760338	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_012964335.1	S__3300027791_27	5	0.527935331070914	0.527935331070914	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027833_000016	S__3300027791_27	5	0.396970903641552	0.396970903641552	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_003331785.1	S__GCA_905181585.1	5	0.468463237772925	0.468463237772925	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182465.1	S__GCA_905181585.1	5	0.643903492047515	0.643903492047515	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300025869_000017	S__IMGVR_UViG_3300020166_000001	5	0.0885377002402511	0.0885377002402511	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001643535.1	S__GCA_905182715.1	5	0.451151190775257	0.451151190775257	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182775.1	S__GCA_905182715.1	5	0.90587839250191	0.90587839250191	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300020166_000001	S__GCA_905182715.1	5	0.239595052618811	0.239595052618811	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905618915.1	S__GCA_011055585.1	5	0.141467046835755	0.141467046835755	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182235.1	S__GCA_011055585.1	5	0.24154877865875	0.24154877865875	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_013911135.1	S__GCA_011055585.1	5	0.363436846408804	0.363436846408804	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_GVMAG-S-1102114-126_000001	S__3300027844_79	5	0.143190771229424	0.143190771229424	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905612305.1	S__3300027844_79	5	0.332026847224879	0.332026847224879	mi_aracne	mi_aracne	spearman	0	ST13
S__3300025276_12	S__3300027844_79	5	0.218483239892024	0.218483239892024	mi_aracne	mi_aracne	spearman	0	ST13
S__3300026080_15	S__3300027844_79	5	0.118715315599364	0.118715315599364	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905181765.1	S__TARA_ARC_108_MAG_00146	5	0.209251231710268	0.209251231710268	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020187_18	S__TARA_ARC_108_MAG_00146	5	0.0885899118581003	0.0885899118581003	mi_aracne	mi_aracne	spearman	0	ST13
S__3300025276_12	S__TARA_ARC_108_MAG_00146	5	0.337358372138787	0.337358372138787	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_004195625.1	S__IMGVR_UViG_3300028198_000003	5	0.293459422383634	0.293459422383634	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027687_20	S__IMGVR_UViG_3300028198_000003	5	0.192281533216552	0.192281533216552	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300031687_001020	S__3300025894_53	5	0.318222353938449	0.318222353938449	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_108_MAG_00146	S__3300025894_53	5	0.538403795523664	0.538403795523664	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_004356455.1	S__GCA_004356825.1	5	0.339154943358673	0.339154943358673	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300028198_000003	S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	5	3.32184066318585	3.32184066318585	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024060_27	S__GCA_017368835.1	5	0.760643977721386	0.760643977721386	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905478615.1	S__IMGVR_UViG_3300023239_000003	5	0.132932392174072	0.132932392174072	mi_aracne	mi_aracne	spearman	0	ST13
S__3300026253_28	S__GCA_008974855.1	5	0.0906414475644776	0.0906414475644776	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024516_38	S__GCA_008974855.1	5	0.120752040043035	0.120752040043035	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_SOC_NCLDV_00026	S__GCA_008974855.1	5	0.178030179513244	0.178030179513244	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_013390475.1	S__GCA_008974855.1	5	0.272235245320559	0.272235245320559	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_011055585.1	S__GCA_008974855.1	5	0.282849059033109	0.282849059033109	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300020166_000015	S__IMGVR_UViG_3300009436_000049	5	0.0711054807652903	0.0711054807652903	mi_aracne	mi_aracne	spearman	0	ST13
