sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV3003047132	39.8786351114048	-2.7442754931894	5.43562013667276	-3.78113700922668	12.2170858283465	LV3003047132	ST8		149.5	23987	252.49	3.97378445744599	mgca_jonkers_2013	4.81065	102185528	63	55519062	64.2	7.67902444688563	23.987	749122	110	1357272	941561	1031729	1050665	10	5.87455313123166	6.13266720983293	5.97384892272904
LV3003047118	31.3180595578675	4.0078319288805	8.03959848010923	3.99493816911474	-2.13549904088641	LV3003047118	ST8		154.5	24528	236.52	4.86949923256839	mgca_jonkers_2013	4.81528	91417437	63.5	42464543	65.7	7.70636378673969	24.528	364583	79	737702	464474	546527	558464	10	5.56179760544846	5.86788154959746	5.66696234340127
LV3003047099	8.40975128194191	3.21231552271441	1.29818435166919	1.6569005807167	-11.8049893628038	LV3003047099	ST8		159.5	25058	89.55	4.2375054250314	mgca_jonkers_2013	4.8113	28885458	59.3	17167551	60.8	7.73314724352832	25.058	82528	25	278084	108095	178187	183658	10	4.91660658281548	5.44417756350307	5.0338096235549
LV3003047071	2.92298841310909	-1.50554952564253	-0.377882228446134	0.575922568719029	-11.2539062906902	LV3003047071	ST8		169.5	26141	140.62	4.12720539382505	mgca_jonkers_2013	4.68128	68001919	56.3	20785023	59.2	7.78787645806057	26.141	45615	14	207472	54127	141767	146659	10	4.65911719996539	5.31696158676392	4.73342198044391
LV3003047169	6.47727361248785	-3.10256051165697	-4.67369428475796	1.39149380860072	-7.62174799902829	LV3003047169	ST8		174.5	26670.3333333333	195.44	4.12763158267034	mgca_jonkers_2013	4.72362666666667	78793387	55.3	25386659	57.5	7.81462622496645	26.6703333333333	77912	21	258029	79638	189051	195276	10	4.89160992695661	5.41167020238581	4.90112579810062
LV3003047156	11.4419666714498	0.423088981832785	2.21552572634246	1.21179155702293	-7.81680405423272	LV3003047156	ST8		179.5	27199.6666666667	175.93	4.12805777151563	mgca_jonkers_2013	4.75	57674275	59.1	20077855	61	7.84137599187233	27.1996666666667	84364	30	259265	81593	198405	203903	10	4.92616231085006	5.41374556736501	4.91165822416199
LV7008886703	7.94012305587146	3.98313765465828	-7.95894178127345	1.77552136756335	-11.2742303941551	LV7008886703	GeoB25202_R1		84.5	27685.5	41.04	7.86592749392857	uk37_alkenone	4.75	139576170	55.3	32441759	57.3	7.86592749392857	27.6855	95155	24	363971	130902	237931	254474	10	4.97843617764393	5.56106797509626	5.11694959970978
LV7008886715	9.81612364419688	9.55605149192131	-8.50739917403788	-2.27678636887445	-9.41662139862332	LV7008886715	GeoB25202_R2		84.5	27685.5	77.28	7.86592749392857	uk37_alkenone	4.75	163412376	53.6	44513031	55.5	7.86592749392857	27.6855	168064	31	519185	248485	329033	338676	10	5.22547727983144	5.71532297307444	5.39530192508535
LV3003047144	16.3749815820489	8.53463653311542	1.08908879879912	0.212560978068724	-9.97897017111505	LV3003047144	ST8		184.5	27729	145.85	4.12848396036092	mgca_jonkers_2013	4.75	92057786	60.2	26538281	62.3	7.87282431997209	27.729	99109	34	312977	110704	226183	233592	10	4.99611747613729	5.49551381098288	5.044167236266
LV3003047131	1.64017992188142	1.10134886226165	0.782525049001175	2.27772487456443	-11.7431358759082	LV3003047131	ST8		189.5	28245.3333333333	102.07	3.79878121129077	mgca_jonkers_2013	4.74509333333333	52927950	62	18465157	64.2	7.95468779538517	28.2453333333333	38925	12	204751	47758	131204	135999	10	4.59023977830897	5.31122815260448	4.67905522475807
LV3003061531	16.2837356424334	16.9186820892753	-4.55576411008577	-1.39046744799655	-3.25494036317307	LV3003061531	ST13		76	28445	99.27	6.67825064126309	mgca_jonkers_2013	4.7411	92367510	61.2	35673132	62.1	7.98634449117112	28.445	233268	50	618525	320838	414712	424428	10	5.36785702759151	5.79135796009966	5.50628715404892
LV3003047117	0.60065117733493	-3.84672431138953	2.44825244881757	2.45125033550907	-10.4071536230332	LV3003047117	ST8		194.5	28761.6666666667	158.61	3.46907846222062	mgca_jonkers_2013	4.73476666666667	120673383	62.4	16047191	66.1	8.03655127079825	28.7616666666667	22279	9	162648	25557	107849	111480	10	4.34791518650169	5.21125139749296	4.40752686580295
LV3003047098	-2.67492201946581	-5.39035157540539	-1.98647249465733	-1.55628856566486	-2.1023939868711	LV3003047098	ST8		199.5	29278	110.66	3.13937571315047	mgca_jonkers_2013	4.69942	78560973	57.5	14314578	59.5	8.11841474621133	29.278	22978	7	143304	29657	85854	89545	10	4.36133112513853	5.15626134346453	4.47214186084442
LV3003047085	3.833309244922	-0.410172048395171	-3.66880983644214	-1.85393466319205	-8.72828802725954	LV3003047085	ST8		204.5	29703	130.79	3.1118182170815	mgca_jonkers_2013	4.65267	72934268	58.5	23719130	60.7	8.18579752939511	29.703	52359	17	212375	73340	131722	135845	10	4.71899963787872	5.32710543681393	4.86534682724336
LV3003047070	-0.81995559477874	-1.94303953030489	-5.2516601336882	4.05213636299956	-5.87865710025779	LV3003047070	ST8		209.5	30128	151.38	3.08426072101253	mgca_jonkers_2013	4.62	68056678	53.6	17883228	56.6	8.25318031257889	30.128	35972	11	174700	44325	111146	115636	10	4.55597665769943	5.24229539092019	4.64665854212029
