taxon	glacial_present	interglacial_present	glacial_absent	interglacial_absent	odds_ratio	p_value	glacial_mean_abund	interglacial_mean_abund	log2fc	fdr	enrichment_class	threshold	method	taxon_embedding_plot	site_embedding_plot	core_mis_midpoint
S__IMGVR_UViG_3300020182_000036	18	4	131	61	2.08908829938783	0.228201496176653	518.288590604027	229.107692307692	1.1777297336037	0.411238112901677	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300020185_000065	9	1	140	64	4.09439212190798	0.288777752644896	154.369127516779	46.4923076923077	1.73132029094326	0.475795725786353	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300021087_000038	9	1	140	64	4.09439212190798	0.288777752644896	154.422818791946	44.3230769230769	1.80075598733731	0.475795725786353	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300023238_000017	9	1	140	64	4.09439212190798	0.288777752644896	176.328859060403	49.9230769230769	1.8204898334841	0.475795725786353	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300023239_000003	11	2	138	63	2.50197772184076	0.352313696474434	325.38255033557	140.784615384615	1.20864718997481	0.532164605083277	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300024520_000070	13	5	136	60	1.14635697727165	1	724.308724832215	372.692307692308	0.95861970946475	1	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300025071_000006	12	2	137	63	2.74856361869167	0.23632439302879	190.174496644295	68.9230769230769	1.46426475902745	0.417184897897762	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300025079_000001	16	7	133	58	0.996792689129435	1	365.61744966443	433.661538461538	-0.246234568395412	1	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300025296_001443	10	2	139	63	2.25889429513768	0.353751038061138	250.892617449664	72.1230769230769	1.79853715399636	0.532164605083277	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__IMGVR_UViG_3300025632_000006	9	3	140	62	1.32693917467938	1	279.718120805369	98.0769230769231	1.51198808467619	1	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
